taxa	organ	pond	value
Halobacillus naozhouensis	Hepatopancreas	Pond 1 (G1)	0.001314141
Clostridium perfringens	Hepatopancreas	Pond 1 (G1)	4.59456E-05
Ruegeria scottomollicae	Hepatopancreas	Pond 1 (G1)	0.000896429
Erythrobacter nanhaisediminis	Hepatopancreas	Pond 1 (G1)	0.000260438
Massilia aerolata	Hepatopancreas	Pond 1 (G1)	0.001544417
Desulfovibrio alaskensis	Hepatopancreas	Pond 1 (G1)	0
Shewanella algae	Hepatopancreas	Pond 1 (G1)	0.000108419
Enterobacter cloacae	Hepatopancreas	Pond 1 (G1)	0.00020858
Morganella morganii	Hepatopancreas	Pond 1 (G1)	9.51764E-05
Serratia rubidaea	Hepatopancreas	Pond 1 (G1)	0.000368848
Serratia symbiotica	Hepatopancreas	Pond 1 (G1)	0.000338551
Pseudoalteromonas luteoviolacea	Hepatopancreas	Pond 1 (G1)	0.012259633
Pseudoalteromonas porphyrae	Hepatopancreas	Pond 1 (G1)	0.000454758
Vibrio diazotrophicus	Hepatopancreas	Pond 1 (G1)	0.002355948
Vibrio harveyi	Hepatopancreas	Pond 1 (G1)	0.014017972
Enterovibrio coralii	Hepatopancreas	Pond 1 (G1)	0.00014061
Grimontia hollisae	Hepatopancreas	Pond 1 (G1)	0.000832278
Photobacterium damselae	Hepatopancreas	Pond 1 (G1)	0.109864874
Vibrio aestuarianus	Hepatopancreas	Pond 1 (G1)	7.49005E-05
Vibrio fortis	Hepatopancreas	Pond 1 (G1)	0.000358702
Vibrio halioticoli	Hepatopancreas	Pond 1 (G1)	8.38284E-05
Vibrio neonatus	Hepatopancreas	Pond 1 (G1)	2.32497E-05
Vibrio shilonii	Hepatopancreas	Pond 1 (G1)	0.005256681
Vibrio tapetis	Hepatopancreas	Pond 1 (G1)	0.000820249
Brevibacterium casei	Hepatopancreas	Pond 2 (G1)	0.000364223
Propionibacterium acnes	Hepatopancreas	Pond 2 (G1)	0.000541683
Annamia toxica	Hepatopancreas	Pond 2 (G1)	2.88531E-05
Arthrospira platensis	Hepatopancreas	Pond 2 (G1)	0.000670206
Lyngbya hieronymusii	Hepatopancreas	Pond 2 (G1)	0.0002704
Halobacillus naozhouensis	Hepatopancreas	Pond 2 (G1)	0.001414885
Clostridium perfringens	Hepatopancreas	Pond 2 (G1)	2.71798E-05
Ruegeria scottomollicae	Hepatopancreas	Pond 2 (G1)	0.00013964
Erythrobacter nanhaisediminis	Hepatopancreas	Pond 2 (G1)	0.000129624
Massilia aerolata	Hepatopancreas	Pond 2 (G1)	0.000999322
Desulfovibrio alaskensis	Hepatopancreas	Pond 2 (G1)	0
Shewanella algae	Hepatopancreas	Pond 2 (G1)	0.000106502
Enterobacter cloacae	Hepatopancreas	Pond 2 (G1)	0.000117465
Morganella morganii	Hepatopancreas	Pond 2 (G1)	3.52118E-05
Serratia rubidaea	Hepatopancreas	Pond 2 (G1)	0.000281223
Serratia symbiotica	Hepatopancreas	Pond 2 (G1)	0.000397977
Pseudoalteromonas luteoviolacea	Hepatopancreas	Pond 2 (G1)	0.007977029
Pseudoalteromonas porphyrae	Hepatopancreas	Pond 2 (G1)	0.0002833
Vibrio diazotrophicus	Hepatopancreas	Pond 2 (G1)	0.003151546
Vibrio harveyi	Hepatopancreas	Pond 2 (G1)	0.032639719
Enterovibrio coralii	Hepatopancreas	Pond 2 (G1)	6.54809E-05
Grimontia hollisae	Hepatopancreas	Pond 2 (G1)	0.001130255
Photobacterium damselae	Hepatopancreas	Pond 2 (G1)	0.094096075
Vibrio aestuarianus	Hepatopancreas	Pond 2 (G1)	5.30689E-05
Vibrio fortis	Hepatopancreas	Pond 2 (G1)	0.000393912
Vibrio halioticoli	Hepatopancreas	Pond 2 (G1)	4.18467E-05
Vibrio neonatus	Hepatopancreas	Pond 2 (G1)	1.07085E-05
Vibrio shilonii	Hepatopancreas	Pond 2 (G1)	0.012864628
Vibrio tapetis	Hepatopancreas	Pond 2 (G1)	0.002127564
Brevibacterium casei	Hepatopancreas	Pond 3 (G2)	4.19463E-05
Propionibacterium acnes	Hepatopancreas	Pond 3 (G2)	0.000390836
Annamia toxica	Hepatopancreas	Pond 3 (G2)	2.09732E-05
Arthrospira platensis	Hepatopancreas	Pond 3 (G2)	0.001416835
Lyngbya hieronymusii	Hepatopancreas	Pond 3 (G2)	0.00048491
Halobacillus naozhouensis	Hepatopancreas	Pond 3 (G2)	0.000970624
Clostridium perfringens	Hepatopancreas	Pond 3 (G2)	0
Ruegeria scottomollicae	Hepatopancreas	Pond 3 (G2)	4.02253E-05
Erythrobacter nanhaisediminis	Hepatopancreas	Pond 3 (G2)	0.000199365
Massilia aerolata	Hepatopancreas	Pond 3 (G2)	0.004710394
Desulfovibrio alaskensis	Hepatopancreas	Pond 3 (G2)	0.002755455
Shewanella algae	Hepatopancreas	Pond 3 (G2)	0.000231681
Enterobacter cloacae	Hepatopancreas	Pond 3 (G2)	6.00128E-05
Morganella morganii	Hepatopancreas	Pond 3 (G2)	0
Serratia rubidaea	Hepatopancreas	Pond 3 (G2)	0.000190613
Serratia symbiotica	Hepatopancreas	Pond 3 (G2)	0.00023626
Pseudoalteromonas luteoviolacea	Hepatopancreas	Pond 3 (G2)	0.011546747
Pseudoalteromonas porphyrae	Hepatopancreas	Pond 3 (G2)	0.000195198
Vibrio diazotrophicus	Hepatopancreas	Pond 3 (G2)	0.002035383
Vibrio harveyi	Hepatopancreas	Pond 3 (G2)	0.004681764
Enterovibrio coralii	Hepatopancreas	Pond 3 (G2)	0.00110313
Grimontia hollisae	Hepatopancreas	Pond 3 (G2)	0.000884174
Photobacterium damselae	Hepatopancreas	Pond 3 (G2)	0.002005499
Vibrio aestuarianus	Hepatopancreas	Pond 3 (G2)	2.82986E-05
Vibrio fortis	Hepatopancreas	Pond 3 (G2)	0.000219094
Vibrio halioticoli	Hepatopancreas	Pond 3 (G2)	0
Vibrio neonatus	Hepatopancreas	Pond 3 (G2)	0
Vibrio shilonii	Hepatopancreas	Pond 3 (G2)	0.011689432
Vibrio tapetis	Hepatopancreas	Pond 3 (G2)	0.000784758
