sample	group	variable	value	order
IA3	Gen 2	f_Nostocaceae	-3.484025539	56
IA3	Gen 2	f_Phormidiaceae	-1.50916067	45
IA3	Gen 2	g_Phormidium	-3.680275746	50
IA3	Gen 2	g_Lyngbya	-3.923217606	51
IA3	Gen 2	g_Arthrospira	-3.203237005	54
IA3	Gen 2	g_Cylindrospermopsis	-3.484025539	57
IA3	Gen 2	g_Planktothricoides	-4.099086932	53
IA3	Gen 2	g_Hydrocoleum	-3.888475375	52
IA3	Gen 2	s_Lyngbya hieronymusii	-3.923219418	48
IA3	Gen 2	s_Arthrospira platensis	-3.203237312	47
IA4	Gen 2	p_Actinobacteria	-1.885466622	1
IA4	Gen 2	p_Bacteroidetes	-2.725470916	7
IA4	Gen 2	c_Actinobacteria	-2.041565278	3
IA4	Gen 2	c_Spartobacteria	-5	6
IA4	Gen 2	c_Flavobacteriia	-3.53649372	13
IA4	Gen 2	c_Cytophagia	-2.849640899	12
IA4	Gen 2	c_Deltaproteobacteria	-3.705178988	10
IA4	Gen 2	c_Bacteroidia	-2.215188424	14
IA4	Gen 2	o_Bacteroidales	-3.705178988	18
IA4	Gen 2	o_Flavobacteriales	-3.53649372	29
IA4	Gen 2	o_Actinomycetales	-2.041565278	2
IA4	Gen 2	o_Marinicellales	-2.879384944	9
IA4	Gen 2	o_Aeromonadales	-2.945783506	36
IA4	Gen 2	o_Kiloniellales	-5	40
IA4	Gen 2	o_Sphingomonadales	-3.984640245	17
IA4	Gen 2	o_Chthoniobacterales	-5	31
IA4	Gen 2	o_Alteromonadales	-2.564819842	11
IA4	Gen 2	o_Cytophagales	-2.849640899	25
IA4	Gen 2	o_Planctomycetales	-3.415304754	24
IA4	Gen 2	o_Caulobacterales	-5	27
IA4	Gen 2	f_Shewanellaceae	-3.320661152	34
IA4	Gen 2	f_Flavobacteriaceae	-3.53649372	32
IA4	Gen 2	f_Erythrobacteraceae	-3.984640245	23
IA4	Gen 2	f_Flammeovirgaceae	-3.177137213	38
IA4	Gen 2	f_Microbacteriaceae	-2.119757595	5
IA4	Gen 2	f_OM60	-2.911316514	16
IA4	Gen 2	f_Chthoniobacteraceae	-5	43
IA4	Gen 2	f_Planctomycetaceae	-3.415304754	26
IA4	Gen 2	f_Caulobacteraceae	-5	30
IA4	Gen 2	f_Colwelliaceae	-3.53649372	19
IA4	Gen 2	f_Corynebacteriaceae	-3.984640245	20
IA4	Gen 2	f_Marinicellaceae	-2.879384944	8
IA4	Gen 2	g_Enterobacter	-3.984640245	22
IA4	Gen 2	g_Ruegeria	-5	42
IA4	Gen 2	g_Loktanella	-5	35
IA4	Gen 2	g_Propionibacterium	-3.53649372	41
IA4	Gen 2	g_Planctomyces	-3.415304754	28
IA4	Gen 2	g_Candidatus Xiphinematobacter	-5	44
IA4	Gen 2	g_Shewanella	-3.320661152	33
IA4	Gen 2	g_Congregibacter	-3.177137213	39
IA4	Gen 2	g_Marivita	-5	37
IA4	Gen 2	g_Corynebacterium	-3.984640245	21
IA4	Gen 2	g_Erythrobacter	-3.984640245	15
IA4	Gen 2	s_Propionibacterium acnes	-3.536493486	4
IA4	Gen 2	o_Rhodophyta	-3.705178988	49
IA4	Gen 2	o_Oscillatoriales	-0.933608544	46
IA4	Gen 2	o_Nostocales	-2.508897139	55
IA4	Gen 2	f_Nostocaceae	-2.55014964	56
IA4	Gen 2	f_Phormidiaceae	-0.933608544	45
IA4	Gen 2	g_Phormidium	-2.55014964	50
IA4	Gen 2	g_Lyngbya	-3.119962545	51
IA4	Gen 2	g_Arthrospira	-2.747625927	54
IA4	Gen 2	g_Cylindrospermopsis	-2.55014964	57
IA4	Gen 2	g_Planktothricoides	-3.320661152	53
IA4	Gen 2	g_Hydrocoleum	-2.66507421	52
IA4	Gen 2	s_Lyngbya hieronymusii	-3.119962497	48
IA4	Gen 2	s_Arthrospira platensis	-2.747625848	47
IA5	Gen 2	p_Actinobacteria	-2.388115995	1
IA5	Gen 2	p_Bacteroidetes	-3.733011385	7
IA5	Gen 2	c_Actinobacteria	-2.423563853	3
IA5	Gen 2	c_Spartobacteria	-5	6
IA5	Gen 2	c_Flavobacteriia	-4.081445469	13
IA5	Gen 2	c_Cytophagia	-4.081445469	12
IA5	Gen 2	c_Deltaproteobacteria	-4.406713933	10
IA5	Gen 2	c_Bacteroidia	-2.765611809	14
IA5	Gen 2	o_Bacteroidales	-4.406713933	18
IA5	Gen 2	o_Flavobacteriales	-4.081445469	29
IA5	Gen 2	o_Actinomycetales	-2.423563853	2
IA5	Gen 2	o_Marinicellales	-3.640823096	9
IA5	Gen 2	o_Aeromonadales	-3.195994217	36
IA5	Gen 2	o_Kiloniellales	-4.081445469	40
IA5	Gen 2	o_Sphingomonadales	-4.165579296	17
IA5	Gen 2	o_Chthoniobacterales	-5	31
IA5	Gen 2	o_Alteromonadales	-2.846504345	11
IA5	Gen 2	o_Cytophagales	-4.081445469	25
IA5	Gen 2	o_Planctomycetales	-4.270025714	24
IA5	Gen 2	o_Caulobacterales	-5	27
IA5	Gen 2	f_Shewanellaceae	-4.406713933	34
IA5	Gen 2	f_Flavobacteriaceae	-4.081445469	32
IA5	Gen 2	f_Erythrobacteraceae	-4.165579296	23
IA5	Gen 2	f_Flammeovirgaceae	-4.081445469	38
IA5	Gen 2	f_Microbacteriaceae	-2.477097195	5
IA5	Gen 2	f_OM60	-3.443885734	16
IA5	Gen 2	f_Chthoniobacteraceae	-5	43
IA5	Gen 2	f_Planctomycetaceae	-4.270025714	26
IA5	Gen 2	f_Caulobacteraceae	-5	30
IA5	Gen 2	f_Colwelliaceae	-4.165579296	19
IA5	Gen 2	f_Corynebacteriaceae	-4.406713933	20
IA5	Gen 2	f_Marinicellaceae	-3.640823096	8
IA5	Gen 2	g_Enterobacter	-3.85018991	22
IA5	Gen 2	g_Ruegeria	-4.406713933	42
IA5	Gen 2	g_Loktanella	-4.609064893	35
IA5	Gen 2	g_Propionibacterium	-5	41
IA5	Gen 2	g_Planctomyces	-4.270025714	28
IA5	Gen 2	g_Candidatus Xiphinematobacter	-5	44
IA5	Gen 2	g_Shewanella	-4.406713933	33
IA5	Gen 2	g_Congregibacter	-3.669432019	39
IA5	Gen 2	g_Marivita	-4.406713933	37
IA5	Gen 2	g_Corynebacterium	-4.406713933	21
IA5	Gen 2	g_Erythrobacter	-4.165579296	15
IA5	Gen 2	s_Propionibacterium acnes	-5	4
IA5	Gen 2	o_Rhodophyta	-3.271836213	49
IA5	Gen 2	o_Oscillatoriales	-1.324228173	46
IA5	Gen 2	o_Nostocales	-3.52065939	55
IA5	Gen 2	f_Nostocaceae	-3.613984646	56
IA5	Gen 2	f_Phormidiaceae	-1.324228173	45
IA5	Gen 2	g_Phormidium	-3.106475695	50
IA5	Gen 2	g_Lyngbya	-3.640823096	51
IA5	Gen 2	g_Arthrospira	-3.025526534	54
IA5	Gen 2	g_Cylindrospermopsis	-3.613984646	57
IA5	Gen 2	g_Planktothricoides	-3.461844929	53
IA5	Gen 2	g_Hydrocoleum	-2.211347597	52
IA5	Gen 2	s_Lyngbya hieronymusii	-3.640824013	48
IA5	Gen 2	s_Arthrospira platensis	-3.025526346	47
IA7	Gen 2	p_Actinobacteria	-2.396557218	1
IA7	Gen 2	p_Bacteroidetes	-2.623985388	7
IA7	Gen 2	c_Actinobacteria	-2.623985435	3
IA7	Gen 2	c_Spartobacteria	-5	6
IA7	Gen 2	c_Flavobacteriia	-3.336322627	13
IA7	Gen 2	c_Cytophagia	-3.012881864	12
IA7	Gen 2	c_Deltaproteobacteria	-3.015395736	10
IA7	Gen 2	c_Bacteroidia	-2.307266558	14
IA7	Gen 2	o_Bacteroidales	-3.015395736	18
IA7	Gen 2	o_Flavobacteriales	-3.336322627	29
IA7	Gen 2	o_Actinomycetales	-2.623985435	2
IA7	Gen 2	o_Marinicellales	-2.723002666	9
IA7	Gen 2	o_Aeromonadales	-3.22110385	36
IA7	Gen 2	o_Kiloniellales	-3.848780355	40
IA7	Gen 2	o_Sphingomonadales	-3.641142306	17
IA7	Gen 2	o_Chthoniobacterales	-5	31
IA7	Gen 2	o_Alteromonadales	-2.645492808	11
IA7	Gen 2	o_Cytophagales	-3.012881864	25
IA7	Gen 2	o_Planctomycetales	-3.657415476	24
IA7	Gen 2	o_Caulobacterales	-5	27
IA7	Gen 2	f_Shewanellaceae	-4.081969663	34
IA7	Gen 2	f_Flavobacteriaceae	-3.336322627	32
IA7	Gen 2	f_Erythrobacteraceae	-3.641142306	23
IA7	Gen 2	f_Flammeovirgaceae	-3.122001281	38
IA7	Gen 2	f_Microbacteriaceae	-2.684281492	5
IA7	Gen 2	f_OM60	-2.772665637	16
IA7	Gen 2	f_Chthoniobacteraceae	-5	43
IA7	Gen 2	f_Planctomycetaceae	-3.657415476	26
IA7	Gen 2	f_Caulobacteraceae	-5	30
IA7	Gen 2	f_Colwelliaceae	-4.081969663	19
IA7	Gen 2	f_Corynebacteriaceae	-4.619788758	20
IA7	Gen 2	f_Marinicellaceae	-2.723002666	8
IA7	Gen 2	g_Enterobacter	-3.784997293	22
IA7	Gen 2	g_Ruegeria	-4.128427064	42
IA7	Gen 2	g_Loktanella	-4.239577517	35
IA7	Gen 2	g_Propionibacterium	-5	41
IA7	Gen 2	g_Planctomyces	-3.657415476	28
IA7	Gen 2	g_Candidatus Xiphinematobacter	-5	44
IA7	Gen 2	g_Shewanella	-4.081969663	33
IA7	Gen 2	g_Congregibacter	-3.054955576	39
IA7	Gen 2	g_Marivita	-4.053547735	37
IA7	Gen 2	g_Corynebacterium	-4.619788758	21
IA7	Gen 2	g_Erythrobacter	-3.641142306	15
IA7	Gen 2	s_Propionibacterium acnes	-5	4
IA7	Gen 2	o_Rhodophyta	-3.433516547	49
IA7	Gen 2	o_Oscillatoriales	-0.854732968	46
IA7	Gen 2	o_Nostocales	-3.021743682	55
IA7	Gen 2	f_Nostocaceae	-3.175057133	56
IA7	Gen 2	f_Phormidiaceae	-0.854732968	45
IA7	Gen 2	g_Phormidium	-2.900842692	50
IA7	Gen 2	g_Lyngbya	-3.158974827	51
IA7	Gen 2	g_Arthrospira	-2.533319923	54
IA7	Gen 2	g_Cylindrospermopsis	-3.175057133	57
IA7	Gen 2	g_Planktothricoides	-3.239713255	53
IA7	Gen 2	g_Hydrocoleum	-2.636972549	52
IA7	Gen 2	s_Lyngbya hieronymusii	-3.158974995	48
IA7	Gen 2	s_Arthrospira platensis	-2.533319952	47
IA8	Gen 2	p_Actinobacteria	-2.791038379	1
IA8	Gen 2	p_Bacteroidetes	-3.137606239	7
IA8	Gen 2	c_Actinobacteria	-3.098616338	3
IA8	Gen 2	c_Spartobacteria	-5	6
IA8	Gen 2	c_Flavobacteriia	-4.105683937	13
IA8	Gen 2	c_Cytophagia	-3.667018507	12
IA8	Gen 2	c_Deltaproteobacteria	-3.342228247	10
IA8	Gen 2	c_Bacteroidia	-2.882717433	14
IA8	Gen 2	o_Bacteroidales	-3.342228247	18
IA8	Gen 2	o_Flavobacteriales	-4.105683937	29
IA8	Gen 2	o_Actinomycetales	-3.098616338	2
IA8	Gen 2	o_Marinicellales	-3.497705374	9
IA8	Gen 2	o_Aeromonadales	-3.833137879	36
IA8	Gen 2	o_Kiloniellales	-4.354577731	40
IA8	Gen 2	o_Sphingomonadales	-4.105683937	17
IA8	Gen 2	o_Chthoniobacterales	-5	31
IA8	Gen 2	o_Alteromonadales	-3.158497249	11
IA8	Gen 2	o_Cytophagales	-3.667018507	25
IA8	Gen 2	o_Planctomycetales	-4.354577731	24
IA8	Gen 2	o_Caulobacterales	-5	27
IA8	Gen 2	f_Shewanellaceae	-4.354577731	34
IA8	Gen 2	f_Flavobacteriaceae	-4.105683937	32
IA8	Gen 2	f_Erythrobacteraceae	-4.105683937	23
IA8	Gen 2	f_Flammeovirgaceae	-3.667018507	38
IA8	Gen 2	f_Microbacteriaceae	-3.227976239	5
IA8	Gen 2	f_OM60	-3.833137879	16
IA8	Gen 2	f_Chthoniobacteraceae	-5	43
IA8	Gen 2	f_Planctomycetaceae	-4.354577731	26
IA8	Gen 2	f_Caulobacteraceae	-5	30
IA8	Gen 2	f_Colwelliaceae	-3.948330492	19
IA8	Gen 2	f_Corynebacteriaceae	-5	20
IA8	Gen 2	f_Marinicellaceae	-3.497705374	8
IA8	Gen 2	g_Enterobacter	-5	22
IA8	Gen 2	g_Ruegeria	-5	42
IA8	Gen 2	g_Loktanella	-5	35
IA8	Gen 2	g_Propionibacterium	-5	41
IA8	Gen 2	g_Planctomyces	-4.354577731	28
IA8	Gen 2	g_Candidatus Xiphinematobacter	-5	44
IA8	Gen 2	g_Shewanella	-4.354577731	33
IA8	Gen 2	g_Congregibacter	-4.105683937	39
IA8	Gen 2	g_Marivita	-4.105683937	37
IA8	Gen 2	g_Corynebacterium	-5	21
IA8	Gen 2	g_Erythrobacter	-4.105683937	15
IA8	Gen 2	s_Propionibacterium acnes	-5	4
IA8	Gen 2	o_Rhodophyta	-3.547154442	49
IA8	Gen 2	o_Oscillatoriales	-1.618692951	46
IA8	Gen 2	o_Nostocales	-3.227976239	55
IA8	Gen 2	f_Nostocaceae	-3.227976239	56
IA8	Gen 2	f_Phormidiaceae	-1.618692951	45
IA8	Gen 2	g_Phormidium	-3.080360304	50
IA8	Gen 2	g_Lyngbya	-3.833137879	51
IA8	Gen 2	g_Arthrospira	-3.137606214	54
IA8	Gen 2	g_Cylindrospermopsis	-3.227976239	57
IA8	Gen 2	g_Planktothricoides	-2.934968821	53
IA8	Gen 2	g_Hydrocoleum	-3.203560277	52
IA8	Gen 2	s_Lyngbya hieronymusii	-3.833138747	48
IA8	Gen 2	s_Arthrospira platensis	-3.137606239	47
IA9	Gen 2	p_Actinobacteria	-2.074521053	1
IA9	Gen 2	p_Bacteroidetes	-2.559157485	7
IA9	Gen 2	c_Actinobacteria	-2.840571177	3
IA9	Gen 2	c_Spartobacteria	-5	6
IA9	Gen 2	c_Flavobacteriia	-2.952907847	13
IA9	Gen 2	c_Cytophagia	-3.033142389	12
IA9	Gen 2	c_Deltaproteobacteria	-3.131637739	10
IA9	Gen 2	c_Bacteroidia	-2.379903939	14
IA9	Gen 2	o_Bacteroidales	-3.131637739	18
IA9	Gen 2	o_Flavobacteriales	-2.952907847	29
IA9	Gen 2	o_Actinomycetales	-2.840571177	2
IA9	Gen 2	o_Marinicellales	-2.322654706	9
IA9	Gen 2	o_Aeromonadales	-3.571044388	36
IA9	Gen 2	o_Kiloniellales	-3.982966661	40
IA9	Gen 2	o_Sphingomonadales	-3.440680009	17
IA9	Gen 2	o_Chthoniobacterales	-5	31
IA9	Gen 2	o_Alteromonadales	-2.578055023	11
IA9	Gen 2	o_Cytophagales	-3.033142389	25
IA9	Gen 2	o_Planctomycetales	-2.991175075	24
IA9	Gen 2	o_Caulobacterales	-3.440680009	27
IA9	Gen 2	f_Shewanellaceae	-4.09420412	34
IA9	Gen 2	f_Flavobacteriaceae	-2.952907847	32
IA9	Gen 2	f_Erythrobacteraceae	-3.440680009	23
IA9	Gen 2	f_Flammeovirgaceae	-3.092039668	38
IA9	Gen 2	f_Microbacteriaceae	-3.067514059	5
IA9	Gen 2	f_OM60	-2.687281806	16
IA9	Gen 2	f_Chthoniobacteraceae	-5	43
IA9	Gen 2	f_Planctomycetaceae	-2.991175075	26
IA9	Gen 2	f_Caulobacteraceae	-3.440680009	30
IA9	Gen 2	f_Colwelliaceae	-4.474955193	19
IA9	Gen 2	f_Corynebacteriaceae	-4.09420412	20
IA9	Gen 2	f_Marinicellaceae	-2.322654706	8
IA9	Gen 2	g_Enterobacter	-4.474955193	22
IA9	Gen 2	g_Ruegeria	-3.758192125	42
IA9	Gen 2	g_Loktanella	-4.244125144	35
IA9	Gen 2	g_Propionibacterium	-5	41
IA9	Gen 2	g_Planctomyces	-2.991175075	28
IA9	Gen 2	g_Candidatus Xiphinematobacter	-5	44
IA9	Gen 2	g_Shewanella	-4.09420412	33
IA9	Gen 2	g_Congregibacter	-3.29798845	39
IA9	Gen 2	g_Marivita	-3.500988248	37
IA9	Gen 2	g_Corynebacterium	-4.09420412	21
IA9	Gen 2	g_Erythrobacter	-3.440680009	15
IA9	Gen 2	s_Propionibacterium acnes	-5	4
IA9	Gen 2	o_Rhodophyta	-3.571044388	49
IA9	Gen 2	o_Oscillatoriales	-0.801264788	46
IA9	Gen 2	o_Nostocales	-3.440680009	55
IA9	Gen 2	f_Nostocaceae	-3.571044388	56
IA9	Gen 2	f_Phormidiaceae	-0.801264788	45
IA9	Gen 2	g_Phormidium	-3.160195883	50
IA9	Gen 2	g_Lyngbya	-3.079603759	51
IA9	Gen 2	g_Arthrospira	-2.487703788	54
IA9	Gen 2	g_Cylindrospermopsis	-3.571044388	57
IA9	Gen 2	g_Planktothricoides	-5	53
IA9	Gen 2	g_Hydrocoleum	-2.826656073	52
IA9	Gen 2	s_Lyngbya hieronymusii	-3.079603743	48
IA9	Gen 2	s_Arthrospira platensis	-2.487703814	47
IL1	Gen 1	p_Actinobacteria	-1.553224049	1
IL1	Gen 1	p_Bacteroidetes	-2.998351902	7
IL1	Gen 1	c_Actinobacteria	-1.563123645	3
IL1	Gen 1	c_Spartobacteria	-4.375717904	6
IL1	Gen 1	c_Flavobacteriia	-3.768808304	13
IL1	Gen 1	c_Cytophagia	-3.973875483	12
IL1	Gen 1	c_Deltaproteobacteria	-3.126483516	10
IL1	Gen 1	c_Bacteroidia	-2.266230101	14
IL1	Gen 1	o_Bacteroidales	-3.126483516	18
IL1	Gen 1	o_Flavobacteriales	-3.768808304	29
IL1	Gen 1	o_Actinomycetales	-1.563123645	2
IL1	Gen 1	o_Marinicellales	-3.453515329	9
IL1	Gen 1	o_Aeromonadales	-2.910727725	36
IL1	Gen 1	o_Kiloniellales	-4.684029655	40
IL1	Gen 1	o_Sphingomonadales	-4.071604148	17
IL1	Gen 1	o_Chthoniobacterales	-4.375717904	31
IL1	Gen 1	o_Alteromonadales	-2.810007464	11
IL1	Gen 1	o_Cytophagales	-3.973875483	25
IL1	Gen 1	o_Planctomycetales	-4.197910742	24
IL1	Gen 1	o_Caulobacterales	-4.503070352	27
IL1	Gen 1	f_Shewanellaceae	-3.796953507	34
IL1	Gen 1	f_Flavobacteriaceae	-3.768808304	32
IL1	Gen 1	f_Erythrobacteraceae	-4.071604148	23
IL1	Gen 1	f_Flammeovirgaceae	-3.973875483	38
IL1	Gen 1	f_Microbacteriaceae	-1.596996565	5
IL1	Gen 1	f_OM60	-3.126483516	16
IL1	Gen 1	f_Chthoniobacteraceae	-4.375717904	43
IL1	Gen 1	f_Planctomycetaceae	-4.197910742	26
IL1	Gen 1	f_Caulobacteraceae	-4.503070352	30
IL1	Gen 1	f_Colwelliaceae	-3.796953507	19
IL1	Gen 1	f_Corynebacteriaceae	-4.071604148	20
IL1	Gen 1	f_Marinicellaceae	-3.453515329	8
IL1	Gen 1	g_Enterobacter	-3.796953507	22
IL1	Gen 1	g_Ruegeria	-5	42
IL1	Gen 1	g_Loktanella	-5	35
IL1	Gen 1	g_Propionibacterium	-3.742376615	41
IL1	Gen 1	g_Planctomyces	-4.197910742	28
IL1	Gen 1	g_Candidatus Xiphinematobacter	-4.375717904	44
IL1	Gen 1	g_Shewanella	-3.796953507	33
IL1	Gen 1	g_Congregibacter	-3.932334118	39
IL1	Gen 1	g_Marivita	-4.130181792	37
IL1	Gen 1	g_Corynebacterium	-4.071604148	21
IL1	Gen 1	g_Erythrobacter	-4.071604148	15
IL1	Gen 1	s_Propionibacterium acnes	-3.742377325	4
IL1	Gen 1	o_Rhodophyta	-5	49
IL1	Gen 1	o_Oscillatoriales	-4.130181792	46
IL1	Gen 1	o_Nostocales	-5	55
IL1	Gen 1	f_Nostocaceae	-5	56
IL1	Gen 1	f_Phormidiaceae	-4.130181792	45
IL1	Gen 1	g_Phormidium	-5	50
IL1	Gen 1	g_Lyngbya	-5	51
IL1	Gen 1	g_Arthrospira	-5	54
IL1	Gen 1	g_Cylindrospermopsis	-5	57
IL1	Gen 1	g_Planktothricoides	-5	53
IL1	Gen 1	g_Hydrocoleum	-5	52
IL1	Gen 1	s_Lyngbya hieronymusii	-5	48
IL1	Gen 1	s_Arthrospira platensis	-5	47
IL2	Gen 1	p_Actinobacteria	-1.715418389	1
IL2	Gen 1	p_Bacteroidetes	-1.65454707	7
IL2	Gen 1	c_Actinobacteria	-1.870890833	3
IL2	Gen 1	c_Spartobacteria	-3.663632338	6
IL2	Gen 1	c_Flavobacteriia	-2.682033557	13
IL2	Gen 1	c_Cytophagia	-2.070831556	12
IL2	Gen 1	c_Deltaproteobacteria	-1.935564325	10
IL2	Gen 1	c_Bacteroidia	-1.402983699	14
IL2	Gen 1	o_Bacteroidales	-1.935564325	18
IL2	Gen 1	o_Flavobacteriales	-2.682033557	29
IL2	Gen 1	o_Actinomycetales	-1.870890833	2
IL2	Gen 1	o_Marinicellales	-2.011582814	9
IL2	Gen 1	o_Aeromonadales	-2.83604146	36
IL2	Gen 1	o_Kiloniellales	-3.663632338	40
IL2	Gen 1	o_Sphingomonadales	-3.372729412	17
IL2	Gen 1	o_Chthoniobacterales	-3.663632338	31
IL2	Gen 1	o_Alteromonadales	-1.759597888	11
IL2	Gen 1	o_Cytophagales	-2.070831556	25
IL2	Gen 1	o_Planctomycetales	-2.778421726	24
IL2	Gen 1	o_Caulobacterales	-3.663632338	27
IL2	Gen 1	f_Shewanellaceae	-3.663632338	34
IL2	Gen 1	f_Flavobacteriaceae	-2.682033557	32
IL2	Gen 1	f_Erythrobacteraceae	-3.372729412	23
IL2	Gen 1	f_Flammeovirgaceae	-2.40427027	38
IL2	Gen 1	f_Microbacteriaceae	-1.967720226	5
IL2	Gen 1	f_OM60	-2.340751435	16
