hep_taxa	order	group	lda	P-value	hep_Gen1	hep_Gen2	hep_Gen1_log10	hep_Gen2_log10	HA1	HA2	HA5	HA7	HA8	HL1	HL2	HL4	HL5	HL7
s_Propionibacterium acnes	18	Gen 2	4.131447992	0.009023439	0.008915614	1.95E-03	-2.049361876	-2.706819028	0.000603379	0.00073406	0.000195198	0.000348286	7.33E-05	0.000887607	0.000444868	1.89E-05	0.000168913	0.007395313
g_Planktothricoides	19	Gen 2	3.440139041	0.034266056	3.38E-05	7.50E-04	-4.358525889	-3.118961319	0	0.000314597	0.000292797	6.97E-05	7.33E-05	0	0	0	3.38E-05	0
g_Trichodesmium	20	Gen 2	3.341006784	0.027802962	0.001025673	1.95E-02	-2.984777346	-1.709641548	0.000804505	0.000524329	0.017079836	0.00076623	0.000329646	0	0	0.000170219	0.000135131	0.000720323
o_Desulfovibrionales	21	Gen 2	3.264454802	0.005345677	0	1.38E-02	-5	-1.860521562	0.009050684	0.00199245	0.000780793	0.001184174	0.000769174	0	0	0	0	0
g_Desulfovibrio	22	Gen 2	3.236813052	0.005345677	0	1.38E-02	-5	-1.860521562	0.009050684	0.00199245	0.000780793	0.001184174	0.000769174	0	0	0	0	0
g_Arthrospira	23	Gen 2	3.205152802	0.047201768	0.000595699	7.08E-03	-3.217743143	-2.149095348	0.002413516	0.001363255	0.002537576	0.000696573	7.33E-05	0	6.36E-05	9.46E-05	0.000101348	0.000336151
f_Desulfovibrionaceae	24	Gen 2	3.188248668	0.005345677	0	1.38E-02	-5	-1.860521562	0.009050684	0.00199245	0.000780793	0.001184174	0.000769174	0	0	0	0	0
g_Lyngbya	25	Gen 2	3.183263085	0.009023439	0.0002839	2.42E-03	-3.531800414	-2.613581302	0.000402253	0.000314597	0.00107359	0.000487601	0.000146509	0	6.36E-05	5.67E-05	6.76E-05	9.60E-05
g_Hydrocoleum	26	Gen 2	3.131069855	0.028280123	0.000747834	1.18E-02	-3.120425914	-1.929142995	0.001206758	0.000419463	0.009076713	0.00076623	0.000293019	0	6.36E-05	0.000170219	3.38E-05	0.000480215
g_Phormidium	27	Gen 2	3.109048416	0.047201768	0.001273495	6.73E-03	-2.891605819	-2.171248744	0.001005632	0.000419463	0.001951981	0.003134578	0.000219764	0	6.36E-05	3.78E-05	6.76E-05	0.001104495
o_Synergistales	28	Gen 2	2.961835462	0.01860293	0	3.87E-03	-5	-2.411468915	0.003016895	0.000524329	0	6.97E-05	0.000256391	0	0	0	0	0
p_Verrucomicrobia	29	Gen 2	2.82138026	0.027802962	0.003771819	9.47E-04	-2.422299249	-3.019155402	0	0.000104866	0.000585594	0.00E+00	0.000256391	3.33E-04	1.14E-03	2.84E-04	8.11E-04	0.001200538
f_Thermovirgaceae	30	Gen 2	2.77148047	0.01860293	0	3.87E-03	-5	-2.411468915	0.003016895	0.000524329	0	6.97E-05	0.000256391	0	0	0	0	0
c_Synergistia	31	Gen 2	2.660923889	0.01860293	0	3.87E-03	-5	-2.411468915	0.003016895	0.000524329	0	6.97E-05	0.000256391	0.00E+00	0.00E+00	0	0	0.00E+00
