sample	group	Bacillus_amyloliquefaciens	Bacillus_cereus	Bacillus_circulans	Bacillus_coagulans	Bacillus_firmus	Bacillus_firmus	Bacillus_licheniformis	Bacillus_megaterium_WSH-002	Bacillus_pumilus	Bacillus_subtilis	Bacillus_subtilis_subsp._subtilis_str._168	Bacillus_tequilensis	Bacillus_thuringiensis	Bdellovibrio_bacteriovorus	Bifidobacterium_bifidum	Bifidobacterium_thermophilum	Clostridium_butyricum	Enterobacter_hormaechei_subsp._hormaechei	Enterococcus_faecium	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus pentosus	Lactobacillus_plantarum	Lactobacillus_reuteri	Lactococcus_lactis_subsp._lactis	Lysinibacillus_fusiformis	Paenibacillus_polymyxa	Pediococcus_acidilactici	Pediococcus_acidilactici_MA18/5M	Pseudoalteromonas_piscicida	Pseudomonas_aeruginosa	Pseudomonas_putida	Pseudomonas_putida	Pseudomonas_putida_B6-2	Pseudoalteromonas ruthenica CP76	Pseudomonas_synxantha	Rhodopseudomonas_palustris	Streptococcus thermophilus TH1435	Vibrio_alginolyticus	Vibrio_fluvialis	Vibrio_hepatarius	Vibrio_mediterranei
2.1H3	AG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6531014831592E-05	7.3062029663184E-05	0	0	0	3.6531014831592E-05	0	0.000949806385621	0	0.000328779133484	3.6531014831592E-05
2.1H4	AG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000334448160535	0	0.002006688963211	0	0	0	0.000334448160535	0	0.000334448160535	0	0.004682274247492	0
2.2H1	AG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007843137254902	0	0	0	0	0	0.007843137254902	0	0	0
2.2H2	AG2	0	0	0	0	0	0	0	0	2.02208112589477E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121324867554	0	0	2.02208112589477E-05	0	4.04416225178954E-05	0.000909936506653	0	0.000222428923848	4.04416225178954E-05
2.2H3	AG2	0	0	0	1.78580995410468E-05	0	0	1.78580995410468E-05	1.78580995410468E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78580995410468E-05	0	0	0	8.92904977052342E-05	0	0.000321445791739	3.57161990820936E-05	0	0	3.57161990820936E-05	3.57161990820936E-05	0.001446506062825	1.78580995410468E-05	0.000107148597246	0.00017858099541
2.2H4	AG2	0	0	0	0	2.08407144196903E-05	0	0.000104203572098	4.16814288393806E-05	0	0	0	0	2.08407144196903E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08407144196903E-05	0	0	2.08407144196903E-05	0	0	0.000187566429777	0	0	0	2.08407144196903E-05	0	0.000812787862368	0	0.001000354292145	0.000187566429777
2.3H1	AG2	0	0	0	0	0	0	2.58504808189432E-05	2.58504808189432E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.58504808189432E-05	0	0	0	2.58504808189432E-05	0	0.000206803846552	0	0	0	2.58504808189432E-05	0	0.000568710578017	0	0.013778306276497	0.000155102884914
2.3H2	AG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000514271020828	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003599897145796	0	0	0.000257135510414	0	0.000257135510414	0.000257135510414	0	0.005399845718694	0
2.3H3	AG2	0	2.13768851740612E-05	2.13768851740612E-05	6.41306555221838E-05	0	0	3.20653277610919E-05	1.06884425870306E-05	0	0	0	0	0	0	0	0	0	0	2.13768851740612E-05	0	0	0	0	0	0	0	1.06884425870306E-05	0	2.13768851740612E-05	0	2.13768851740612E-05	1.06884425870306E-05	0.00079094475144	0	5.34422129351532E-05	1.06884425870306E-05	2.13768851740612E-05	7.48190981092145E-05	0.00050235680159	0	0.005408351949038	4.27537703481225E-05
2.3H4	AG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036144578313253	0
10.1H1	AG10	0	0	0	0.00024911563948	0	0	0.000348761895272	0	0.000149469383688	0	0	4.98231278959693E-05	0	0	0	0	4.98231278959693E-05	0	0	0	0	9.96462557919386E-05	0	0	0	0	0	0	0	0	0.000199292511584	9.96462557919386E-05	0.005430720940661	0	0	4.98231278959693E-05	0	0	0.000697523790544	0	0.001046285685815	0.000149469383688
10.1H2	AG10	0	0	0	3.02443745463343E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000241954996371	0	0	0	0	0.00090733123639	0.000120977498185	0	0	6.04887490926687E-05	0	0	0	0	0.00033268812001	9.07331236390031E-05	0.02549600774256	0	0	0.000483909992741	0	0	0.000786353738205	0	9.07331236390031E-05	9.07331236390031E-05
10.1H3	AG10	0	0	0	0.000202052857027	0	0	0.000484926856866	0	0.000323284571244	0	0	8.08211428109593E-05	0	0	0	0	0	0	0	0	0	0.000404105714055	0	0	0	0	0	4.04105714054796E-05	0	0	4.04105714054796E-05	8.08211428109593E-05	0.007718419138447	0	0	0.000121231714216	0	0	0.000565747999677	0	0.012203992564455	4.04105714054796E-05
10.1H4	AG10	3.63451333866395E-05	0	0	1.81725666933197E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81725666933197E-05	0	0	0	0	0	0	0	0	0	5.45177000799592E-05	0	0.000417969033946	0	0	1.81725666933197E-05	0	0	0.000890455767973	1.81725666933197E-05	0.00038162390056	7.2690266773279E-05
10.2H1	AG10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000148290946838	0	0	7.41454734188477E-05	0	0	0	0	0	0	0	0	0	0	0.000889745681026	0	0	0	0	0	0.001631200415215	0	0.000889745681026	0.000222436420257
10.2H2	AG10	0	0	0	0.000215501759931	0	0	0.000143667839954	0	0	0	0	0	0	0	0	0	0	0	0	0	7.18339199770131E-05	0.001005674879678	0	0	0	7.18339199770131E-05	0	0	0	0	7.18339199770131E-05	0	0.005818547518138	0	0	7.18339199770131E-05	0	7.18339199770131E-05	0.000646505279793	0	0.00071833919977	7.18339199770131E-05
10.2H3	AG10	0	0	0	0	3.15000315000315E-05	0	3.15000315000315E-05	0	0	0	0	0	0	0	0	0	9.45000945000945E-05	0	0	0	0	0.003402003402003	0.000126000126	0	0	0.000189000189	0	3.15000315000315E-05	0	3.15000315000315E-05	0.000567000567001	0.000189000189	0.028948528948529	0	3.15000315000315E-05	0.0004095004095	0	0	0.0004725004725	3.15000315000315E-05	0.000882000882001	3.15000315000315E-05
10.2H4	AG10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007874015748032	0
10.3H1	AG10	0	0	0	2.45434910661692E-05	0	0	0	0	0	2.45434910661692E-05	0	0	0	0	0	0	0	0	0	0	0	0.000171804437463	0	0	0	0	0	0	0	0	2.45434910661692E-05	0	0.001030826624779	0	0	0	2.45434910661692E-05	0	0.000441782839191	0	0.001227174553308	7.36304731985077E-05
10.3H2	AG10	0	0	0.00010042177144	0.00010042177144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020084354288	0	0	0	0	0	0	0	0	0.00020084354288	0.00010042177144	0.001908013657361	0	0	0	0	0	0.002209278971681	0	0.00020084354288	0.00010042177144
10.3H3	AG10	0	0	0	1.97164770598789E-05	0	0	9.85823852993947E-05	0	0.000138015339419	0	0	0	0	0	0	0	0	0	0	0	0	0.000197164770599	0	0	0	0	0	0	0	0	3.94329541197578E-05	3.94329541197578E-05	0.002444843155425	1.97164770598789E-05	0	0	0.000374613064138	0	0.000828092036515	0	0.001222421577712	5.91494311796368E-05
