sample	group	D_5__Aeromonas	D_5__Afifella	D_5__Bacillus	D_5__Bdellovibrio	D_5__Bowmanella	D_5__Clostridium	D_5__Ectothiorhodospira	D_5__Enterobacter	D_5__Enterococcus	D_5__Exiguobacterium	D_5__Glutamicibacter	D_5__Lactobacillus	D_5__Lactococcus	D_5__Marinomonas	D_5__Phaeobacter	D_5__Pseudoalteromonas	D_5__Pseudomonas	D_5__Rhodobacter	D_5__Rhodopseudomonas	D_5__Shewanella	D_5__Staphylococcus	D_5__Streptococcus	D_5__Streptomyces	D_5__Vibrio	D_5__Weissella	D_6__Bacillus_amyloliquefaciens	D_6__Bacillus_aryabhattai	D_6__Bacillus_cereus	D_6__Bacillus_endophyticus	D_6__Bacillus_firmus	D_6__Bacillus_foraminis	D_6__Bacillus_licheniformis	D_6__Bacillus_megaterium	D_6__Bacillus_pumilus	D_6__Bacillus_subtilis	D_6__Bacillus_thuringiensis	D_6__Bacillus_vireti	D_6__Enterobacter_hormaechei	D_6__Pseudoalteromonas_flavipulchra	D_6__Pseudoalteromonas_ruthenica	D_6__Rhodopseudomonas_palustris	D_6__Shewanella_algae	D_6__Staphylococcus_haemolyticus	D_6__Streptococcus_salivarius	D_6__Vibrio_alginolyticus	D_6__Vibrio_fluvialis	D_6__Vibrio_gazogenes	D_6__Vibrio_hepatarius	D_6__Vibrio_mediterranei
IL1	gut_gen1	0.000399872	0	0.000579814	0	1.00E-05	2.00E-05	1.00E-05	0.000589811	0	0	1.00E-05	0	0	2.00E-05	0	0.003168986	0.00033	0	0	0.000369882	5.00E-05	1.00E-05	3.00E-05	0.854	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	1.00E-05	2.00E-05	2.00E-05	1.00E-05	0	7.00E-05	0	0	0.00272	2.00E-05	2.00E-05	0.000289907	0.00046985
IL2	gut_gen1	0.001328904	0	0.005813953	0	0	0.000664452	0	0.000830565	0	0	0	0	0	0	0	0.054318937	0.000830565	0	0	0.001495017	0	0	0	0.336212625	0	0	0	0.000166113	0	0.000166113	0	0	0	0.000166113	0.000166113	0	0.000166113	0	0	0	0	0	0	0	0.002159468	0	0	0.000166113	0.000664452
IL3	gut_gen1	0.000448109	0	0.011919699	0	0	0.0857	0	0.000179	0	0	0	0	0	8.96E-05	0.000179	0.00654	0.000448109	0	0	0.001702814	8.96E-05	0	0.000179244	0.141	0	0	0	0.000179244	0	0.000268865	8.96E-05	0	0	8.96E-05	0.000627	0	0.000716974	0	0	0	0	0.000448109	0	0	0.001254705	0	0	0.000716974	0
IL4	gut_gen1	0.000186892	0	0.000258773	0	0	5.75E-05	0	5.75E-05	0	0	0	0	0	0	0	0.00352	0.000819448	0	0	0.001466381	0	0	0	0.024597823	0	0	0	0	0	1.44E-05	0	1.44E-05	0	1.44E-05	0	0	0	0	0	1.44E-05	0	0.000402536	0	0	0.000100634	0	0	4.31E-05	1.44E-05
IL6	gut_gen1	0.000426823	1.58E-05	0.0047741	3.16E-05	1.58E-05	0.000316	0	0.000379399	1.58E-05	0	0	3.16E-05	1.58E-05	0	1.58E-05	0.00484	0.000932688	1.58E-05	0	0.001675677	3.16E-05	0	3.16E-05	0.236523444	1.58E-05	0	0	1.58E-05	0	0	0	0	1.58E-05	1.58E-05	0.000379	1.58E-05	0.000237124	0	0	0	0	0.000474248	0	0	0.001106579	0	0	0.000395207	0.000173891
IL8	gut_gen1	0.00099841	0	0.000850497	3.70E-05	0	0.000147913	0	0.000961432	0	0.000258847	3.70E-05	0	7.40E-05	0.000258847	0	0.008320083	0.001553082	0	0	0.000295825	0.00263	0.000147913	0.000148	0.43497393	0	0	3.70E-05	0	0	7.40E-05	0	3.70E-05	0	0	0	0	0	3.70E-05	0	3.70E-05	0	7.40E-05	0.000111	7.40E-05	0.000148	0	0	0.000814	0.000184891
IA2	gut_gen2	0.000269442	0	0.000262352	0	0	3.55E-05	0	0.000425435	0	0	0	0	0	7.09E-06	7.09E-06	0.00399	0.000177265	0	0	0.000467979	0	0	6.38E-05	0.701	0	0	0	0	0	7.09E-06	0	0	7.09E-06	7.09E-06	1.42E-05	0	2.13E-05	7.09E-06	3.55E-05	0	0	0.000163	0	0	0.002907142	0	0	0.000106359	0.000687787
IA3	gut_gen2	0.00016104	0	0.001572506	2.84E-05	9.47E-06	0.000549	0	0.000483119	0	0	0	0	0	9.47E-06	0	0.00355	0.000246296	0	9.47E-06	0.00038839	0	0	3.79E-05	0.848	0	9.47E-06	0	1.89E-05	0	1.89E-05	0	0	0	9.47E-06	9.47E-05	0	4.74E-05	0	9.47E-06	0	9.47E-06	0.000161	0	0	0.002311394	0	0	0	0.000539957
IA4	gut_gen2	0.000439638	0	0.001494768	0	0	0	0	0.000175855	0	0	0	0	0	0	0	0.005275653	0	0	0	0.001406841	8.79E-05	0	0	0.069111052	0	0	0	0	0	0	0	0	0	0	0	0	0.000263783	0	0	0	0	8.79E-05	0	0	0.000176	0	0	0.000175855	0
IA5	gut_gen2	0.000112182	0	0.000196318	0	0	2.80E-05	0	0.000224363	0	0	0	0	0	0	0	0.0214	0.00021034	0	0	0.000112182	0	0	0	0.097415618	0	0	0	0	0	0	0	1.40E-05	0	1.40E-05	0	0	1.40E-05	0	0	0	0	1.40E-05	0	0	0.000126	1.40E-05	0	0.000140227	9.82E-05
IA7	gut_gen2	0.000272905	0	0.0004923	2.68E-06	2.68E-06	4.01E-05	0	0.000262	5.35E-06	0	0	0	0	2.68E-06	8.03E-06	0.00154	0.000401331	0	0	0.000131102	5.35E-06	5.35E-06	1.61E-05	0.141	0	0	2.68E-06	0	0	5.35E-06	0	0	2.68E-06	2.68E-06	1.07E-05	0	2.14E-05	1.61E-05	5.35E-06	0	0	5.89E-05	0	0	0.000613	2.68E-06	0	0.000436113	8.56E-05
IA8	gut_gen2	3.37E-05	0	0.000236223	0	0	0	0	0.000236223	0	0	0	0	0	0	0	0.001349846	0.000404954	0	0	3.37E-05	0	0	0.000101238	0.275334931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.37E-05	0	0	0	0	0.0008774	0	0	0	0.000101238
IA9	gut_gen2	0.000151729	0	0.002557711	2.17E-05	2.17E-05	0.007131245	0	0.000108378	0	0	0	0	0	0	2.17E-05	0.001148802	0.000520212	0	0	4.34E-05	2.17E-05	0	0	0.051175897	0.000108378	0	0	0	0	2.17E-05	2.17E-05	2.17E-05	0	8.67E-05	0.000108	0	4.34E-05	2.17E-05	0	0	0	0	0	0	0.000260106	0	0	0	4.34E-05
7A	gut_healthy	0	0	0.00070373	0	0	0	0	0	0	0	0	0	0	0	0	0.008947421	0.000100533	0	0	0	0.000100533	0.000100533	0.000100533	0.821252639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00070373	0	0	0.000603197	0
68-BI	gut_healthy	0	1.14E-05	0.000335005	7.61E-06	0	0.0125	0	0	0	1.90E-05	0	0	0	0	0	0.0146	1.52E-05	0	0	3.81E-06	1.52E-05	4.19E-05	3.81E-05	0.107757259	0	0	0	0	0	1.52E-05	3.81E-06	3.81E-06	0	0	0	0	3.81E-06	0	0	0	0	0	0	0	0.000483472	0	0	0.001309563	0.000110399
139-I	gut_healthy	0	0	0.002516628	0	0	0.000179759	0	0	0	0	0	0	0	8.99E-05	0	0.014920007	0	0	0	0	0	8.99E-05	0	0.675	0	0	0	8.99E-05	0	0	0	0.000449398	0	0	0.000808916	0	0	0	0	0	0	0	0	0	0.004673737	0	0	0.004763617	0.000449398
2-BI	gut_diseased	0	0	0.000627233	0	0	6.82E-05	0	0	0	2.05E-05	0	0	0	0	0	0.00588	5.45E-05	0	0	6.82E-06	7.50E-05	6.14E-05	0.000102266	0.451041752	0	0	0	0	0	1.36E-05	6.82E-06	0	0	0	0	0	1.36E-05	0	0	0	0	0	0	0	0.001084022	0	0	0.000224986	0.00021135
27-BI	gut_diseased	0	0	0.000608707	8.40E-05	0	4.20E-05	0	0	0	0	0	0	0	0	0	0.00356828	6.30E-05	2.10E-05	0	6.30E-05	4.20E-05	8.40E-05	0.000104949	0.03406658	0	0	0	0	0	0	0	0	0	0	0	0	2.10E-05	0	0	0	0	0	0	2.10E-05	4.20E-05	0	0	0	2.10E-05
49-BI	gut_diseased	0	0	0.000594707	0.000297354	0	0.000148677	0	0	0	0	0	0	0	0	0	0.004460303	0	0	0	0	0	0	0.000148677	0.39622361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001189414	0	0	0.000148677	0

