sample	group	Aeromonas	Afifella	Bacillus	Bdellovibrio	Bowmanella	Clostridium	Ectothiorhodospira	Enterobacter	Enterococcus	Exiguobacterium	Glutamicibacter	Lactobacillus	Lactococcus	Marinomonas	Phaeobacter	Pseudoalteromonas	Pseudomonas	Rhodobacter	Rhodopseudomonas	Shewanella	Staphylococcus	Streptococcus	Streptomyces	Vibrio	Weissella
2-BI	i-enfermo	0	0	0.000627233	0	0	6.82E-05	0	0	0	2.05E-05	0	0	0	0	0	0.00588	5.45E-05	0	0	6.82E-06	7.5E-05	6.14E-05	0.000102266	0.451041752	0
27-BI	i-enfermo	0	0	0.000608707	8.4E-05	0	4.2E-05	0	0	0	0	0	0	0	0	0	0.00356828	6.3E-05	2.1E-05	0	6.3E-05	4.2E-05	8.4E-05	0.000104949	0.03406658	0
49-BI	i-enfermo	0	0	0.000594707	0.000297354	0	0.000148677	0	0	0	0	0	0	0	0	0	0.004460303	0	0	0	0	0	0	0.000148677	0.39622361	0
HL1	H-Genetic 1	2.59E-05	0	0.004748437	0.000103791	0	0	0	0.000181634	0	5.19E-05	0	0.000285425	0	0	0	0.00103791	0.004281377	0	0.00023353	5.19E-05	0	0.000259477	2.59E-05	0.28363476	0
HL2	H-Genetic 1	0.000806452	0	0.005791789	7.33E-05	0	0.000513196	0	0.000513196	0	0	0	0	0	0	3.67E-05	0.036840176	0.001136364	0	0.000183284	0.001392962	0.000256598	7.33E-05	7.33E-05	0.201942815	0
HL4	H-Genetic 1	0.000127508	0	0.003458663	1.59E-05	0	0.000159385	0	0.000940374	1.59E-05	0	0	0	1.59E-05	3.19E-05	0	0.002167642	0.000589726	3.19E-05	3.19E-05	0.000191262	7.97E-05	0.00011157	3.19E-05	0.606	0
HL5	H-Genetic 1	0.001333514	0	0.003299882	9.04E-05	0	9.04E-05	0	0.000158214	0	0	0	2.26E-05	2.26E-05	2.26E-05	0	0.002147184	0.000406835	0	4.52E-05	0.002983455	0.000226019	0	2.26E-05	0.247	0
HL7	H-Genetic 1	0.001288919	0	0.009586337	0.000281951	0	0.000161	0	0.000684738	0	0	0	0	0	0	0	0.00947	0.004027873	0	4.03E-05	0.003786201	0.000684738	0.000120836	0	0.274821767	4.03E-05
HA1	H-Genetic 2	0.000646914	0	0.008151119	0.00271704	0	0	0	0	0	0	0	0.000129383	0	0	0.000129383	0.004787165	0.023159529	0	0.000388149	0.000776297	0.001293828	0.001164446	0	0.034674602	0.000129383
HA2	H-Genetic 2	0.000625167	0	0.003393766	0.000357239	0	0.000357	0	0.000357239	0	0.000178619	0	0.000357239	0	0	0	0.005	0.004554791	0	0.000178619	0.000357239	0.000982406	0.000267929	0	0.512369385	0
HA5	H-Genetic 2	8.27E-05	0	0.00430072	0	0	0.000165412	0	0.000165412	0	0.000248118	0	0.000248118	8.27E-05	0	0	0.045157555	0.005127781	0	8.27E-05	0.000330825	0	0	0	0.141841039	0
HA7	H-Genetic 2	2.91E-05	0	0.005355376	0.000145527	0	0	0	8.73E-05	0	0	0	2.91E-05	0	0	0	0.000844054	0.001193317	0	0.000145527	0.000145527	0.000203737	0	0	0.283398335	0
HA8	H-Genetic 2	2.91E-05	0	0.002443707	2.91E-05	0	2.91E-05	0	0.000320009	0	2.91E-05	0	5.82E-05	8.73E-05	0	0	0.00145	0.001221854	0	8.73E-05	0.000116	5.82E-05	0.00032	5.82E-05	0.350264735	0
